transcript_id,theme,speaker,text,label
3,Startup Team Standup,Eve,I will finalize the pitch deck and send it to everyone by Monday.,1
3,Startup Team Standup,Eve,"Deal. Also, I saw a funny meme about startup life.",0
3,Startup Team Standup,Grace,We should all go together sometime.,0
3,Startup Team Standup,Alice,The investor meeting I mean with Sequoia is scheduled for April 10 at 2 PM.,1
3,Startup Team Standup,Bob,We I mean need to decide on the pricing model before the investor meeting.,1
3,Startup Team Standup,Alice,We agreed to target the enterprise market first.,1
3,Startup Team Standup,Bob,Send it in the group chat!,0
3,Startup Team Standup,Alice,"Definitely, maybe after we close the funding round.",0
3,Startup Team Standup,Eve,Let's go with the freemium model for the launch.,1
3,Startup Team Standup,Grace,Action item: Um set up the demo environment for the investor presentation.,1
3,Startup Team Standup,Bob,"Not yet, but I heard it's amazing. Their tonkotsu is supposed to be incredible.",0
3,Startup Team Standup,Grace,So Well what's the plan for lunch today?,0
3,Startup Team Standup,Alice,"I Actually brought leftovers, but I'm always down for takeout.",0
3,Startup Team Standup,Alice,The user testing results show 87% satisfaction rate.,1
4,Department Budget Review,Carol,"Those were the days. Anyway, back to numbers.",0
4,Department Budget Review,Frank,"The travel I mean budget should be increased to $120,000 for conference attendance.",1
4,Department Budget Review,Carol,The Actually total budget for next fiscal year is $2.3 million.,1
4,Department Budget Review,Hank,"The grant from NSF for $500,000 has been confirmed.",1
4,Department Budget Review,Hank,"Oh yeah, Professor Thompson's famous tomato soup.",0
4,Department Budget Review,Dave,The Um pasta station is pretty decent actually.,0
4,Department Budget Review,Carol,We decided to prioritize hiring two new faculty positions.,1
4,Department Budget Review,Frank,Let's schedule a follow-up meeting to finalize the allocations.,1
4,Department Budget Review,Carol,Has anyone tried the new cafeteria menu?,0
4,Department Budget Review,Dave,"The software licenses So renewal costs $85,000 annually.",1
4,Department Budget Review,Dave,"We need to allocate $450,000 for new lab equipment.",1
4,Department Budget Review,Dave,"Also, the parking situation is terrible this week.",0
4,Department Budget Review,Frank,"They're doing construction on lot B, it should be done by next month.",0
4,Department Budget Review,Frank,I miss the old chef who used to make that amazing soup.,0
4,Department Budget Review,Hank,Action item: Carol will prepare the budget proposal for the dean by April 15.,1
5,Student Club Meeting,Hank,I will handle the social media marketing starting next week.,1
5,Student Club Meeting,Hank,We should contact Professor Kumar to be the keynote speaker.,1
5,Student Club Meeting,Bob,"I'm Actually down, there's a new burger place I want to try.",0
5,Student Club Meeting,Bob,Action item: create Well the event registration form by this Friday.,1
5,Student Club Meeting,Alice,Same here. Well Let's wrap this up quickly then.,0
5,Student Club Meeting,Hank,What a So comeback in the last quarter!,0
5,Student Club Meeting,Alice,"The annual tech fest is on May 20, we need volunteers by May 1.",1
5,Student Club Meeting,Grace,Count me in too!,0
5,Student Club Meeting,Alice,Midterms are the worst. At least they're almost over.,0
5,Student Club Meeting,Grace,We Like agreed to include a hackathon as part of the fest.,1
5,Student Club Meeting,Grace,Did you all see the game last night?,0
5,Student Club Meeting,Bob,"I couldn't Well watch it, I was studying for midterms.",0
5,Student Club Meeting,Bob,The sponsorship outreach to companies should start immediately.,1
5,Student Club Meeting,Alice,Let's confirm the venue booking for the auditorium by April 20.,1
5,Student Club Meeting,Hank,True. Anyone want to grab food after this meeting?,0
5,Student Club Meeting,Grace,"The budget approved by the student council is $5,000.",1
